wine_upc,item_desc_truth,brand_family_truth,size_truth,color_truth,Period Descriptions,$,$ YA,9 Liter Equivs,9 Liter Equivs YA,Units,Units YA,Max Item %ACV Reach Where Dist WINE,Max Item %ACV Reach YA Where Dist WINE,$ Per Point of Max Item ACV,# Stores,# Stores Selling,$ per Store Selling,arp_truth,arp_ly_truth,prestige_truth
7149625810,BILLECART-SALMON CUVEE NICOLAS 750ML,BILLECART-SALMON,750ML,WHITE,Latest 52 Wks,38882.38,108474.35,20.33,65.25,244.00,783.00,0.00%,0.00%,264505.99,238866,82,473.73,$159.35,$138.54,Prestige
337582828301,DOYARD SPK CHAMPAGNE BLANC DE BLANC WHITE BRUT CHAMPAGNE FRANCE 750ML,DOYARD,750ML,WHITE,Latest 52 Wks,38838.32,17124.31,55.41,30.28,665.00,363.00,0.00%,0.00%,1176918.82,238866,44,881.43,$58.41,$47.13,
8175382554,VEUVE CLICQUOT LA GRANDE DAME 750ML,VEUVE CLICQUOT,750ML,WHITE,Latest 52 Wks,38819.62,126901.12,17.04,63.64,204.00,764.00,0.00%,0.00%,328979.85,238866,117,332.71,$189.91,$166.18,Prestige
8858600400,NICOLAS FEUILLATTE SPK CHAMPAGNE ROSE PINK BRUT CHAMPAGNE FRANCE 375ML,NICOLAS FEUILLATTE,375ML,PINK,Latest 52 Wks,38688.61,64585.87,54.60,91.93,1310.00,2206.00,0.00%,0.00%,429873.42,238866,81,479.98,$29.52,$29.27,
335995005200,DEUTZ SPK CHAMPAGNE ROSE PINK BRUT CHAMPAGNE FRANCE 750ML,DEUTZ,750ML,PINK,Latest 52 Wks,38495.78,52433.36,50.06,77.09,601.00,925.00,0.00%,0.00%,212683.86,238866,90,429.34,$64.09,$56.68,
73459913405,LOUIS ROEDERER SPK CHAMPAGNE ROSE PINK BRUT CHAMPAGNE FRANCE 750ML,LOUIS ROEDERER,750ML,PINK,Latest 52 Wks,38231.97,60491.52,34.84,59.08,418.00,709.00,0.00%,0.00%,579272.23,238866,67,570.07,$91.44,$85.33,
8175383178,KRUG GRANDE CUVEE 750ML,KRUG,750ML,WHITE,Latest 52 Wks,37671.61,163309.62,12.58,64.65,151.00,776.00,0.00%,0.00%,376716.12,238866,81,464.06,$249.51,$210.51,Prestige
85216500676,BOLLINGER B13 SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,BOLLINGER,750ML,WHITE,Latest 52 Wks,37649.77,96178.70,19.24,52.06,231.00,625.00,0.00%,0.00%,298807.69,238866,63,597.62,$163.08,$153.95,
69274300279,LANSON BLACK LABEL SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 375ML,LANSON,375ML,WHITE,Latest 52 Wks,37473.67,1903.29,51.81,3.07,1243.00,74.00,0.00%,0.00%,520467.63,238866,143,262.84,$30.14,$25.85,
311388021501,PERRIER JOUET BELLE EPOQUE 750ML,PERRIER JOUET,750ML,WHITE,Latest 52 Wks,37466.48,14654.85,18.28,8.53,219.00,102.00,0.00%,0.00%,1208596.03,238866,74,508.95,$170.81,$143.12,Prestige
66750500006,CHARLES HEIDSIECK SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,CHARLES HEIDSIECK,750ML,WHITE,Latest 52 Wks,37428.24,28645.83,33.87,21.75,406.00,261.00,0.00%,0.00%,277246.23,238866,81,460.55,$92.08,$109.75,
734599400056,LOUIS ROEDERER CHAMPAGNE 750ML,LOUIS ROEDERER,750ML,WHITE,Latest 52 Wks,37232.87,94763.35,54.87,141.58,658.00,1699.00,0.00%,0.00%,427964.00,238866,137,272.16,$56.54,$55.78,
347582838104,M. HASLINGER & FILS SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,M. HASLINGER & FILS,750ML,WHITE,Latest 52 Wks,37137.89,0.00,165.25,0.00,1983.00,0.00,0.00%,0.00%,1160559.06,238866,38,977.31,$18.73,,
327776150216,DEVAUX SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,DEVAUX,750ML,WHITE,Latest 52 Wks,36637.20,49262.70,34.42,52.50,413.00,630.00,0.00%,0.00%,590922.58,238866,134,272.59,$88.71,$78.19,
73459902505,LOUIS ROEDERER VINTAGE 750ML,LOUIS ROEDERER,750ML,WHITE,Latest 52 Wks,36388.39,125266.64,32.08,126.21,385.00,1515.00,0.00%,0.00%,454854.84,238866,92,396.92,$94.53,$82.71,
8678512001,LIONNE ROYALE SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,LIONNE ROYALE,750ML,WHITE,Latest 52 Wks,36268.74,12556.00,90.75,28.58,1089.00,343.00,2.00%,1.00%,20273.19,238866,220,165.18,$33.3,$36.61,
8175380948,VEUVE CLICQUOT LA GRANDE DAME 750ML,VEUVE CLICQUOT,750ML,WHITE,Latest 52 Wks,36157.88,16517.61,15.23,8.19,183.00,98.00,0.00%,0.00%,372761.62,238866,84,432.88,$197.81,$168.0,Prestige
311388058381,PERRIER JOUET GRAND BRUT 750ML,PERRIER JOUET,750ML,WHITE,Latest 52 Wks,36118.47,49337.12,54.42,82.33,653.00,988.00,0.00%,0.00%,2124615.88,238866,15,2407.90,$55.31,$49.94,
79055900320,PHILIPPONNAT RSV SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,PHILIPPONNAT,750ML,WHITE,Latest 52 Wks,35723.66,18701.97,46.92,25.67,563.00,308.00,0.00%,0.00%,1373986.92,238866,35,1020.68,$63.45,$60.72,
8175383483,VEUVE CLICQUOT PONSARDIN 750ML,VEUVE CLICQUOT,750ML,WHITE,Latest 52 Wks,34224.16,4190154.95,46.40,6287.49,557.00,75450.00,0.00%,3.00%,329078.41,238866,120,284.77,$61.47,$55.54,
348020031102,GUYOT CHOPPIN SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,GUYOT CHOPPIN,750ML,WHITE,Latest 52 Wks,34152.15,46191.70,76.92,109.30,923.00,1312.00,0.00%,0.00%,1897341.50,238866,15,2342.88,$37.0,$35.22,
74773624359,MARC HEBRART SPK CHAMPAGNE ROSE PINK BRUT CHAMPAGNE FRANCE 750ML,MARC HEBRART,750ML,PINK,Latest 52 Wks,33758.93,6231.51,36.20,8.24,434.00,99.00,0.00%,0.00%,1125297.50,238866,54,625.81,$77.72,$63.05,
8175383088,DOM PERIGNON CHAMPAGNE 750ML,DOM PERIGNON,750ML,WHITE,Latest 52 Wks,33722.78,78281.63,5.89,15.00,71.00,180.00,0.00%,0.00%,1021902.52,238866,36,931.75,$476.77,$434.9,Prestige
827582859118,RUINART ROSE 750ML,RUINART,750ML,PINK,Latest 52 Wks,33615.76,29615.43,26.08,26.67,313.00,320.00,0.00%,0.00%,1600750.48,238866,28,1200.56,$107.4,$92.55,
8689107558,BOLLINGER GRANDE ANNEE 750ML,BOLLINGER,750ML,WHITE,Latest 52 Wks,33084.63,80180.29,15.67,41.47,188.00,498.00,0.00%,0.00%,560756.51,238866,51,652.47,$175.98,$161.12,Prestige
837582850446,NICOLAS FEUILLATTE PALMES D'OR 750ML,NICOLAS FEUILLATTE,750ML,WHITE,Latest 52 Wks,32967.12,66917.63,15.00,35.08,180.00,421.00,0.00%,0.00%,1569862.86,238866,24,1373.63,$183.15,$158.95,Prestige
345712100061,CHAMPAGNE VEUVE DOUSSOT SPK CHAMPAGNE ROSE PINK BRUT FRANCE 750ML,CHAMPAGNE VEUVE DOUSSOT,750ML,PINK,Latest 52 Wks,32922.31,13455.45,68.42,31.67,821.00,380.00,0.00%,0.00%,491377.76,238866,144,227.99,$40.1,$35.41,
