Nielsen Item Names,Nielsen Item Names ID,Brand Families,Colors,Sizes,Period Descriptions, $, $ YA, 9 Liter Equivs, 9 Liter Equivs YA,Units,Units LY, %ACV Reach Where Dist NON ALCOHOLIC, %ACV Reach Where Dist YA NON ALCOHOLIC, $ Per Point of ACV,# Stores,# Stores Selling,$ per Store Selling,GT,# Stores Last Period,# Stores Selling Last Period,$ per Store Selling Last Period,Prestige,ARP,ARP LY,ACV Calc
DOM PERIGNON SPK CHAMPAGNE WHITE WHITE CHAMPAGNE FRANCE 750ML,8175382242,DOM PERIGNON,WHITE,750ML,Latest 4 Wks,1569131.307,1513109.389,485.811,470.797,5829.738,5649.561,0.02434,0.02292,644671.8599,261443.248,2072.491,757.1233395,TOTAL,261123,2275,640.67,,269.16,267.83,0.79%
VEUVE CLICQUOT SPK CHAMPAGNE ROSE PINK BRUT CHAMPAGNE FRANCE 750ML,8175380247,VEUVE CLICQUOT,PINK,750ML,Latest 52 Wks,17174798.21,18491555.81,19741.75,21606.384,236901.007,259276.618,0.2119,0.20853,810514.3091,260960.495,13218.976,1299.253301,TOTAL,260885,13141,1310.55,,72.50,71.32,5.07%
VEUVE CLICQUOT SPK CHAMPAGNE ROSE PINK BRUT CHAMPAGNE FRANCE 750ML,8175380247,VEUVE CLICQUOT,PINK,750ML,Latest 26 Wks,7524679.815,7724870.454,8617.566,8911.464,103410.796,106937.57,0.18616,0.18052,404204.975,261037.091,10169.152,739.951553,TOTAL,260922,10276,721.47,,72.76,72.24,3.90%
VEUVE CLICQUOT SPK CHAMPAGNE ROSE PINK BRUT CHAMPAGNE FRANCE 750ML,8175380247,VEUVE CLICQUOT,PINK,750ML,Latest 13 Wks,3880039.667,3847296.858,4447.49,4426.599,53369.886,53119.194,0.15686,0.15577,247356.8575,261185.275,8382.328,462.8833025,TOTAL,260997,8438,465.89,,72.70,72.43,3.21%
VEUVE CLICQUOT SPK CHAMPAGNE ROSE PINK BRUT CHAMPAGNE FRANCE 750ML,8175380247,VEUVE CLICQUOT,PINK,750ML,Latest 4 Wks,1115527.956,1163573.242,1288.681,1331.545,15464.176,15978.543,0.09546,0.10034,116858.1559,261443.248,4711,236.7921792,TOTAL,261123,5506,229.86,,72.14,72.82,1.80%
NICOLAS FEUILLATTE SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,8858600389,NICOLAS FEUILLATTE,WHITE,750ML,Latest 52 Wks,13013349.08,12936109.25,28146.09,29114.91,337753.091,349378.938,0.2681,0.25312,485391.6104,260960.495,12152.658,1070.823278,TOTAL,260885,12165,1063,,38.53,37.03,4.66%
NICOLAS FEUILLATTE SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,8858600389,NICOLAS FEUILLATTE,WHITE,750ML,Latest 26 Wks,5304795.415,5532223.209,11300.24,12335.278,135602.888,148023.341,0.23958,0.22805,221420.6284,261037.091,10249.95,517.5435407,TOTAL,260922,10306,513.12,,39.12,37.37,3.93%
NICOLAS FEUILLATTE SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,8858600389,NICOLAS FEUILLATTE,WHITE,750ML,Latest 13 Wks,2714470.061,2758532.982,5715.646,6066.737,68587.755,72800.846,0.20721,0.19752,131000.9199,261185.275,8799.31,308.4866951,TOTAL,260997,8933,304.17,,39.58,37.89,3.37%
NICOLAS FEUILLATTE SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,8858600389,NICOLAS FEUILLATTE,WHITE,750ML,Latest 4 Wks,826287.054,744841.952,1759.176,1611.122,21110.116,19333.467,0.12556,0.12122,65808.14384,261443.248,5314.988,155.4635785,TOTAL,261123,5794,141.15,,39.14,38.53,2.03%
DOM PERIGNON SPK CHAMPAGNE WHITE WHITE CHAMPAGNE FRANCE 750ML,8175381102,DOM PERIGNON,WHITE,750ML,Latest 52 Wks,11753187.71,13302860.53,3648.813,4244.093,43785.752,50929.114,0.05383,0.04613,2183389.878,260960.495,5384.913,2182.614225,TOTAL,260885,5433,2154.41,,268.42,261.20,2.06%
